,video_id,title,publishedate,channel_name,Thumbnails_url,tags,views,likes,dislikes,comments
930,xHmq1JpoGqc,selfmade-chaache maame full audio   pbx 1   sidhu moose wala   ft sunny malton  byg byrd,2018-10-24 13:16:20+00:00,T-Series,https://i.ytimg.com/vi/xHmq1JpoGqc/mqdefault.jpg,  latest hindi songs    bollywood songs    songs    hindi songs    songs2018    jatt da muqabala    sidhu moose wala    new punjabi songs    snappy    intense    sidhu moose wala song    pbx1    pbx1 new album    new punjabi album songs    song teaser    sidhu moose wala new song    sidhu moose wala    jatt da muqabala    punjabi songs    new song 2018    sidhu moose wala songs    sidhu moose wala famous    sidhu moose wala all song    latest punjabi songs 2018    latest punjabi songs    sidhu moosewala    sidhumoosewala  ,21873003,244244,8491,5836
931,rkWJyMhIWLo,dekhte dekhte full song   batti gul meter chalu   atif aslam   shahid k shraddha k   nusrat saab,2018-10-04 13:52:28+00:00,T-Series,https://i.ytimg.com/vi/rkWJyMhIWLo/mqdefault.jpg,  dekhte dekhte    dekhte dekhte atif aslam    batti gul meter chalu    shahid kapoor    shraddha kapoor    atif aslam    bollywood songs    hindi songs    latest hindi songs    dekhte dekhte song    dekhte dekhte video song    atif aslam new song    latest bollywood songs    atif aslam 2018 songs    t series    atif aslam news songs    dekhte dekhte    dekhte dekhte whatsapp status    nusrat fateh ali khan    sochta hoon    sochta hoon ke woh kitne    sochta wo kitne masoom the    batti gul meter chalu  ,21778686,164209,8488,4965
932,_OWnl5hlDi8,full video tum hi aana (duet version)  riteish d sidharth m tara s jubin nautiyal  dhvani bhanushali,2019-12-06 06:30:01+00:00,T-Series,https://i.ytimg.com/vi/_OWnl5hlDi8/mqdefault.jpg,  marjaavaan songs    marjaavaan movie song    marjaavaan release date    marjaavaan full movie    marjaavaan 2019    marjaavaan mp3    tum hi aana marjaavaan    marjaavaan    tseries songs    jubin nautiyal    new songs bollywood    new hindi song 2019    tum hi aana    jubin nautiyal songs    thodi jagah    arijit singh song    thodi jagah marjaavaan    rakul preet singh    thodi jagah full song    thodi jagah song arijit singh    arijit singh    marjaavaan riteish deshmukh    marjaavaan sidharth malhotra  ,20695350,191273,10038,4823
933,0m2xS08lTbE,dil cheez tujhe dedi full song (audio)   airlift   akshay kumar   ankit tiwari  arijit singh,2015-12-24 08:43:01+00:00,T-Series,https://i.ytimg.com/vi/0m2xS08lTbE/mqdefault.jpg,  dil cheez tujhe dedi song    dil cheez tujhe dedi full song    dil cheez tujhe dedi airlift song    airlift dil cheez tujhe dedi song    airlift dil cheez tujhe dedi    dil cheez tujhe dedi    airlift songs    airlift video songs    airlift movie songs    airlift    airlift movie    airlift akshay kumar    akshay kumar songs    songs of akshay kumar    ankit tiwari    ankit tiwari songs    arijit singh    arijit singh songs    songs    hindi songs    latest songs    new    2016    air lift    dil cheej tujhe dedi    bollywood  ,20652133,84234,5366,2183
934,9dJOKvj3HrY, dil tu hi bataa krrish 3  video song   hrithik roshan  kangana ranaut,2013-09-25 10:29:05+00:00,T-Series,https://i.ytimg.com/vi/9dJOKvj3HrY/mqdefault.jpg,  dil tu hi bataa    dil tu hi bata krrish 3    dil tu hi bta    krrish 3 songs    krrish 3 trailer    krrish 3 movie    hrithik roshan latest movies    hrithik roshan krrish    alisha chinai songs    zubeen garg songs    latest bollywood songs    dhoom 3 songs    priyanka chopra songs    movies 2013    dhoom 3 aamir khan    raghupati raghav raja ram hrithik roshan    ramleela trailer    ramleela song  ,19366007,51625,9522,4532
935,A8gDQ-x1Fko,luka chuppi  tu laung main elaachi full video   kartik aaryan  kriti sanon   tulsi kumar   tanishk b,2019-03-12 09:30:01+00:00,T-Series,https://i.ytimg.com/vi/A8gDQ-x1Fko/mqdefault.jpg,  songs 2019    songs    tseries songs    new songs 2019    t-series    songs    bollywood songs    latest hindi songs tseries    luka chuppi    kartik aaryan    tulsi kumar    tulsi kumar new song    tu laung main elaachi    laung laachi    laung laachi title song    laung laachi song    romantic punjabi songs    luka chuppi movie song    laung laachi luka chuppi    kriti sanon    tu laung main elaachi song    luka chuppi photo    tu laung main elaachi song lyrics    luka chuppi tu laung main elaachi song  ,19265001,95618,13956,3846
936,TMiHf8b4fCA,jhoom jhoom (full song)   tom dick and harry,2011-05-24 18:04:49+00:00,T-Series,https://i.ytimg.com/vi/TMiHf8b4fCA/mqdefault.jpg,  jhoom jhoom    tom dick and harry    himesh reshammiya    sameer    jimmy shergil    dino morea    celina jaitely    hindi bollywood song    yt crop 16 9    hindi movies    official song    hindi songs    tseries movies    bollywood song    latest hindi movies    full hindi song    latest bollywood song    latest hindi song    full movies song    dance song    jhoom jhoom song    tseries  ,18726643,85875,5243,4413
937,I4d0KU-SuBc, razia gundo mein phas gayi  (full song)  thank you  feat. mallika sherawat   akshay kumar,2011-09-19 06:57:35+00:00,T-Series,https://i.ytimg.com/vi/I4d0KU-SuBc/mqdefault.jpg,  irfan khan    bollywood song    akshay kumar    bobby deol    suniel shetty    sonam kapoor    rimi sen    celina jaitly    tseries    bollywood hits    hindi bollywood song    razia phas gayi    razia thank youthank you 2011    razia gundo mein phas gayi    item songs 2011    ritu pathak    pritam    tseries movies    hindi songs    razia thank you full song hd    razia thank you    razia thank you song    razia thank you full song    razia song mallika sherawat    razia song lyrics    razia song hd    razia gundo mein  ,18627286,77052,4517,1278
938,npKD1bHZyJs,deep money  zeher video song feat. bohemia   new songs 2018   t-series,2018-01-06 04:36:20+00:00,T-Series,https://i.ytimg.com/vi/npKD1bHZyJs/mqdefault.jpg,  deep money songs    bohemia songs    zeher bohemia song    deep money milan    latest punjabi songs 2017    punjabi songs 2017    new songs 2017    hindi songs 2017    party songs    bohemia new song    bohemia deep money    tseries    punjabi songs    daru party millind gaba    party songs 2047    team dg videos    new videos 2017    latest videos    hindi dancing songs    deep money    deep money all songs  ,18419507,140134,8414,6756
939,fL15eJ6bU_k,nanu ki jaanu official trailer   abhay deol   patralekhaa   movie releasing - april 20,2018-03-26 12:09:09+00:00,T-Series,https://i.ytimg.com/vi/fL15eJ6bU_k/mqdefault.jpg,  songs    ries    new songs    latest hindi songs    bollywood songs    bollywood    2017    t-series music    latest songs    movie songs    tseries offical channel    hindi songs    film songs  ,18111795,48876,4217,1799
940,CNZMIhckaA0,lyrical  aaoge jab tum   jab we met   kareena  kapoor  shahid kapoor   ustad rashid khan,2020-05-10 07:05:28+00:00,T-Series,https://i.ytimg.com/vi/CNZMIhckaA0/mqdefault.jpg,  aaoge jab tum    jab we met    ustad sultan khan    irshad kamil    pritam    kareena kapoor    shahid kapoor    hindi bollywood song    bolllywood romantic song    official song    hindi movies    hindi songs    tseries movies    aaoge jab tum song    bollywood song    latest bollywood song    latest hindi song    full hindi song    full movies song    latest hindi movies    tseres  ,17916278,141783,6163,5071
941,LFFW3en2NUM,making of garmi song   street dancer 3d   varun d  nora f  shraddha k  badshah  neha k   remo d,2020-01-07 09:32:16+00:00,T-Series,https://i.ytimg.com/vi/LFFW3en2NUM/mqdefault.jpg,  new songs    tseries    tseries new songs    bollywood songs    new bollywood songs    tseries movie songs    hindi film songs    t-series    tseries hindi songs    hindi new songs    bollywood hindi    gami    neha kakkar    nora fatehi    muqabla    badshah    muqabla song    varun dhawan    garmi song    garmi song dance    garmi song reaction    garmi    garmi full video song    garmi song street dancer    garmi song nora fatehi    badshah song    haaye garmi    haaye garmi neha kakkar    garmi song badshah  ,17895199,182568,8595,2189
942,NO2R_vOPrYo,party all night feat. honey singh boss latest video song   akshay kumar  sonakshi sinha,2013-09-06 14:24:18+00:00,T-Series,https://i.ytimg.com/vi/NO2R_vOPrYo/mqdefault.jpg,  party all night    party all night boss song    boss songs    boss movie song    boss trailer akshay kumar 2013    boss official trailer    boss akshay kumar new movie    boss hindi movie songs      boss title song akshay kumar      boss title song honey singh    boss akshay kumar 2013    latest hindi songs 2013    honey singh latest songs 2013    new hindi songs    listen free music    lungi dance honey singh song    akshay kumar songs    akshay kumar new movie 2013    bajatey raho sabki boss song  ,17891351,44809,7829,4327
